tube_or_well_id,biosample_accession,run_accession,flowcell_lane_index,rg_id,rg_sm,rg_lb,rg_pl,rg_pu,read1_filename,read2_filename
TRIDUBI-P03_S06,SAMEA120250333,ERR15812265,EKDN250010438-1A_22TTW2LT4_L8,P3S6.EKDN250010438-1A.22TTW2LT4.L8,P3S6,P3S6_lib1,MGI,EKDN250010438-1A.22TTW2LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812265_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812265_2.fastq.gz
TRIDUBI-P03_S06,SAMEA120250333,ERR15812266,EKDN250010438-1A_22TV53LT4_L8,P3S6.EKDN250010438-1A.22TV53LT4.L8,P3S6,P3S6_lib1,MGI,EKDN250010438-1A.22TV53LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812266_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812266_2.fastq.gz
TRIDUBI-P03_S07,SAMEA120250332,ERR15812267,EKDN250010439-1A_22TTW2LT4_L8,P3S7.EKDN250010439-1A.22TTW2LT4.L8,P3S7,P3S7_lib1,MGI,EKDN250010439-1A.22TTW2LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812267_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812267_2.fastq.gz
TRIDUBI-P03_S09,SAMEA120250331,ERR15812268,EKDN250010440-1A_22TTW2LT4_L8,P3S9.EKDN250010440-1A.22TTW2LT4.L8,P3S9,P3S9_lib1,MGI,EKDN250010440-1A.22TTW2LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812268_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812268_2.fastq.gz
TRIDUBI-P03_S10,SAMEA120250330,ERR15812269,EKDN250010441-1A_22TTW2LT4_L8,P3S10.EKDN250010441-1A.22TTW2LT4.L8,P3S10,P3S10_lib1,MGI,EKDN250010441-1A.22TTW2LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812269_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812269_2.fastq.gz
TRIDUBI-P03_S10,SAMEA120250330,ERR15812270,EKDN250010441-1A_22TV53LT4_L8,P3S10.EKDN250010441-1A.22TV53LT4.L8,P3S10,P3S10_lib1,MGI,EKDN250010441-1A.22TV53LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812270_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812270_2.fastq.gz
TRIDUBI-P03_S11,SAMEA120250329,ERR15812271,EKDN250010442-1A_22TTW2LT4_L8,P3S11.EKDN250010442-1A.22TTW2LT4.L8,P3S11,P3S11_lib1,MGI,EKDN250010442-1A.22TTW2LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812271_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812271_2.fastq.gz
TRIDUBI-P04_S10,SAMEA120250322,ERR15812272,EKDN250010449-1A_22TTW2LT4_L8,P4S10.EKDN250010449-1A.22TTW2LT4.L8,P4S10,P4S10_lib1,MGI,EKDN250010449-1A.22TTW2LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812272_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812272_2.fastq.gz
TRIDUBI-P04_S11,SAMEA120250321,ERR15812273,EKDN250010450-1A_22TTYMLT4_L2,P4S11.EKDN250010450-1A.22TTYMLT4.L2,P4S11,P4S11_lib1,MGI,EKDN250010450-1A.22TTYMLT4.L2,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812273_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812273_2.fastq.gz
TRIDUBI-P04_S12,SAMEA120250320,ERR15812274,EKDN250010451-1A_22TTWGLT4_L1,P4S12.EKDN250010451-1A.22TTWGLT4.L1,P4S12,P4S12_lib1,MGI,EKDN250010451-1A.22TTWGLT4.L1,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812274_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812274_2.fastq.gz
TRIDUBI-P04_S03,SAMEA120250328,ERR15813543,EKDN250010443-1A_22TTW2LT4_L8,P4S3.EKDN250010443-1A.22TTW2LT4.L8,P4S3,P4S3_lib1,MGI,EKDN250010443-1A.22TTW2LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15813543_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15813543_2.fastq.gz
