Sample	X_reads	Y_reads	Species	Read_ratio	Sex	Y_cov	X_cov	Cov_ratio	Group	Nr
LTM.MAG.1862	34398	25221	LT_parental	0.7332112332112332	M	0.11272730165765138	0.03816820659183725	2.9534345918615816	LTM_MAG	1862
LTM.MAG.1863	4852	191	LT_parental	0.039365210222588626	F	8.536899653705806e-4	0.005383805406814184	0.15856627438467238	LTM_MAG	1863
LTM.MAG.1864	19908	864	LT_parental	0.0433996383363472	F	0.003861717958534982	0.0220900243278765	0.17481727956549545	LTM_MAG	1864
LTM.MAG.1865	19563	14057	LT_parental	0.7185503245923427	M	0.06282889970269241	0.021707210464448866	2.8943792573251583	LTM_MAG	1865
LTM.MAG.1866	25490	15413	LT_parental	0.6046684974499804	M	0.06888965149872649	0.02828384167759554	2.435653978126175	LTM_MAG	1866
LTM.PRI.1867	19285	1212	LT_parental	0.06284677210267046	F	0.0054171321362782385	0.021398740162904276	0.2531519189933009	LTM_PRI	1867
LTM.PRI.1868	6274	371	LT_parental	0.05913292955052598	F	0.0016582145400653686	0.006961664287376792	0.23819225857703583	LTM_PRI	1868
LTM.PRI.1869	21770	13488	LT_parental	0.619568213137345	M	0.06028570813046278	0.0241561095849845	2.495671246993205	LTM_PRI	1869
LTM.URA.1833	9	5	LT_parental	0.5555555555555556	M	2.2347904852632998e-5	9.986448611155741e-6	2.2378230462897912	LTM_URA	1833
LTM.URA.1834	23	8	LT_parental	0.34782608695652173	M	3.57566477642128e-5	2.5520924228509117e-5	1.4010718202857826	LTM_URA	1834
LTM.URA.1835	27741	11208	LT_parental	0.40402292635449333	M	0.05009506351766213	0.030781563435785714	1.627437268485951	LTM_URA	1835
LTM.URA.1836	11	1	LT_parental	0.09090909090909091	F	4.4695809705266e-6	1.2205659413634796e-5	0.36618922575651136	LTM_URA	1836
LTM.URA.1837	46934	22904	LT_parental	0.4880044317552307	M	0.10237128254894125	0.052078219901775955	1.9657216153321364	LTM_URA	1837
LTM.URA.1838	74248	35534	LT_parental	0.4785852817584312	M	0.1588220902066922	0.08238598183123239	1.9277805116413993	LTM_URA	1838
LTM.URA.1839	365	193	LT_parental	0.5287671232876713	M	8.626291273116337e-4	4.050059714524273e-4	2.129917058304311	LTM_URA	1839
LTM.URA.1840	144	28	LT_parental	0.19444444444444445	F	0.00012514826717474479	1.5978317777849186e-4	0.783238066201427	LTM_URA	1840
LTM.URA.1843	138	63	LT_parental	0.45652173913043476	M	2.815836011431758e-4	1.531255453710547e-4	1.8389067641250894	LTM_URA	1843
LTM.URA.1845	66770	2882	LT_parental	0.04316309719934102	F	0.01288133235705766	0.07408835264076322	0.17386447259147703	LTM_URA	1845
LTM.YAK.1870	6768	3959	LT_parental	0.5849586288416075	M	0.01769507106231481	0.007509809355589118	2.356261021346086	LTM_YAK	1870
LTM.YAK.1871	6241	3412	LT_parental	0.5467072584521712	M	0.015250210271436759	0.006925047309135887	2.2021813845687204	LTM_YAK	1871
LTM.YAK.1872	10371	361	LT_parental	0.03480860090637354	F	0.0016135187303601025	0.011507717616255133	0.1402118807712956	LTM_YAK	1872
LTM.YAK.1873	23079	704	LT_parental	0.03050392131374843	F	0.0031465850032507264	0.02560858305520704	0.1228722806126099	LTM_YAK	1873
LT_Hir_191	20823	13894	LT	0.6672429525044422	M	0.06210035800449658	0.02310531327001067	2.687708981859994	LT_Hir	191
LT_Hir_386	21957	14149	LT	0.6443958646445325	M	0.06324010115198087	0.024363605795016292	2.5956790503036693	LT_Hir	386
LT_Hir_433	38479	1747	LT	0.045401387769952443	F	0.00780835795550997	0.04269650623429575	0.1828804893932503	LT_Hir	433
LT_Hir_436	41403	1747	LT	0.04219501002342826	F	0.00780835795550997	0.04594099242752013	0.1699649385639417	LT_Hir	436
LT_Hir_441	23019	13466	LT	0.5849950041270255	M	0.06018737734911119	0.02554200673113267	2.3564075439597287	LT_Hir	441
LT_Hir_442	27701	1414	LT	0.051045088624959385	F	0.0063199874923246125	0.030737179219736135	0.2056137763047102	LT_Hir	442
LT_Hir_444	33706	1588	LT	0.04711327360113926	F	0.00709769458119624	0.037400359654179496	0.18977610501141456	LT_Hir	444
