Sample #	Day	Month	Year	Place	ETRS-TM 35FIN		Cause of Death	Hunter's evaluation		Sex	Age	Sender	Notes	Tissue -80 deg	Extracted DNA -20 deg	Purified DNA	MtDNA	Results checked	Nuclear DNA					NGS/Vienna	SNP chip/Sweden
					N	E		Species	Code 1-5								Cytb		Tshd	Tg	Mgf	Sptbn1	Prck1		
186			2013	Ruokolahti, Lampila	6802426	597491	hunted	LE?	3			Osmo Siilin		1	1	1	LT	1							
187			2013	Ruokolahti, Lampila	6802426	597491	hunted	LE?	3			Osmo Siilin		1	1		LT	1							
188			2013	Ruokolahti, Lampila	6802426	597491	hunted	LE?	3			Osmo Siilin		1	1		LT	1							
189			2013	Ruokolahti, Lampila	6802426	597491	hunted	LT	1			Osmo Siilin		1	1		LT	1							
190	19	10	2013	Mikkeli, Vehmaskylä	6852997	521480	hunted	LE	5			Jarmo Liukkonen		1	1		LE	1							
191	8	12	2013	Hirvensalmi, Hurrilan kylä	6839300	479438	hunted	LT	1			Juha Kämppi		1	1		LT	1							
192	8	12	2013	Hirvensalmi, Hurrilan kylä	6839300	479438	hunted	LE	5			Juha Kämppi		1	1		LE	1							
193	4	12	2013	Hirvensalmi, Hurrilan kylä	6839300	479438	hunted	LE	5			Juha Kämppi		1	1		LE	1							
194	8	12	2013	Hirvensalmi, Hurrilan kylä	6839300	479438	hunted	LE	5			Juha Kämppi		1	1		LE	1							
195	8	12	2013	Hirvensalmi, Hurrilan kylä	6839300	479438	hunted	LT	1			Juha Kämppi		1	1	1	LT	1							
196	22	12	2013	Mikkeli, Rahula	6843316	522842	hunted	LT	1			Kari Hämäläinen		1	1	1	LT	1							
197	22	12	2013	Mikkeli, Rahula	6843316	522842	hunted	LT	1			Kari Hämäläinen		1	1		LT	1							
198	14	11	2013	Rautalampi, Hoikka	6944275	494889	hunted	LT	1			Vilho Hänninen		1	1		LT	1							
199	3	12	2013	Rautalampi, Vihtalahti	6965794	483802	hunted	LT	1			Vilho Hänninen		1	1	1	LT	1							
200	8	12	2013	Rautalampi, Tervaharju	6952383	484356	hunted	LT	1			Vilho Hänninen		1	1	1	LT	1							
201	17	12	2013	Rautalampi, Harju	6952383	484356	hunted	LT	1			Vilho Hänninen		1	1		LT	1							1
202	12	11	2013	Rautalampi, Kirppumäki	6939858	496730	hunted	LE	5			Vilho Hänninen		1	1		LT	1							
203	2	12	2013	Pieksämäki, Vanaja, Alakylä	6915151	488180	hunted	LT	1			Vilho Hänninen		1	1		LE	1							
204	29	11	2013	Pieksämäki, Vanaja, Alakylä	6915151	488180	hunted	LT	1			Vilho Hänninen		1	1		LT	1							
205	20	11	2013	Pieksämäki, Vanaja, Alakylä	6915151	488180	hunted	LT	1			Vilho Hänninen		1	1		LT	1							
206	11	12	2013	Sastamala, Koskikartano	6808564	281285	hunted	LT	1			Vilho Hänninen		1	1		LT	1							1
207	16	10	2013	Juuka, Tanssikangas, Lehtolampi	7015139	585891	hunted	LE	5			L. Ruppa		1	1		LE	1							
208		9	2013	Juuka, Raholajärvi	7008969	589104	hunted	LT	1			Pasi Räsänen		1	1		LT	1							
209		9	2013	Juuka, Lehtolampi, 	7015713	586427	hunted	LT	1			Pasi Räsänen		1	1		LT	1							
210		9	2013	"Juuka, ""Korkalainen"""	7014304	613232	hunted	LT	1			Pasi Räsänen		1	1		LT	1							
211	29	9	2013	Jännevirta, Lyytilänmäki	6982452	541064	hunted	LE?	3			Teuvo Laitinen		1	1		LT	1							
212	11	9	2013	Jännevirta, Uuhilahti	6981704	538122	hunted	LT	1			Teuvo Laitinen		1	1		LT	1							
213	29	9	2013	Jännevirta, Lyytilänmäki	6982452	541064	hunted	LT	1			Teuvo Laitinen		1	1		LT	1							
214	9	1	2014	Puumala, Suurpäänniemi	6821060	574808	hunted	LT	1			Toni Tynkkynen		1	1		LT	1							
215	12	1	2014	Nousiainen, Valpperi, Sunintie	6734071	239166	hunted	LE	5			Olavi Salin		1	1		LE	1							
216	16	2	2014	Joensuu, Noljakka	6947001	637687	hunted	LE	5			Jaakko Pohjoismäki		1	1		LE	1							
217			2013	Siilinjärvi, Jännevirta	6982452	541064	hunted	LT	1			Teuvo Laitinen		1	1		LT	1							
218			2013	Siilinjärvi, Jännevirta	6982452	541064	hunted	LT	1			Teuvo Laitinen		1	1		LT	1							
219	16	9	2013	Siilinjärvi, Uuhilahti	6981704	538122	hunted	LT	1			Teuvo Laitinen		1	1		LT	1							
220	16	9	2013	Siilinjärvi, Uuhilahti	6981704	538122	hunted	LT	1			Teuvo Laitinen		1	1		LT	1							
221	1	9	2013	Juuka, Raholajärvi	7008969	589104	hunted	LT	1			Teuvo Laitinen		1	1		LT	1							
222	19	11	2013	?	?	?	hunted	LT	?			Sarvine?		1	1		LT	1							
223	11	2	2014	Oulainen, Irvanperä	7128900	388292	hunted	LT	1			Pekka Seppinen		1	1	1	LT	1							
224	8	1	2014	Liperi, Vaivio	6952165	627103	hunted	LT	1			Seppo Pietarinen		1	1		LT	1							
225	14	10	2013	Liperi, Vaivio	6952165	627103	hunted	LT	1			Seppo Pietarinen		1	1		LT	1							
226	16	9	2013	Liperi, Vaivio	6952165	627103	hunted	LT	5			Seppo Pietarinen	LT based on RADseq	1	1	1	LT	1							
227	18	1	2014	Ruokolahti, Talkkuna	6810749	575704	hunted	LE?	3			Toni Tynkkynen		1	1		LE	1							
228	7	12	2013	Joensuu, Utra	6946763	646775	hit by car	LE	5			Rauni Nyman		1	1		LE	1							
229	23	12	2013	Kajaani, Salmijärvi	7130419	541578	hunted	LE	5			Tuomas Niskanen		1	1	1	LE	1							1
230	9	2	2014	Siilinjärvi, Mikkajärvi	7005751	526435	hunted	LE?	3			Erkki Saarijärvi		1	1		LT	1							
231	4	2	2014	Ruokolahti, Talkkuna	6810749	575704	hunted	LT	1			Toni Tynkkynen		1	1		LT	1							
232	21	12	2013	Ala-Temmes, Parras	7187736	431333	hunted	LT	1			Hannu Pietiläinen		1	1		LT	1							
233		9	2013	Ala-Temmes, Vaaranmaa	7182942	431909	hunted	LT	1			Hannu Pietiläinen		1	1		LT	1							
234	29	12	2013	Tyrnävä, Teerikaarto	7175386	434410	hunted	LT	1			Hannu Pietiläinen		1	1	1	LT	1							
235	15	10	2013	Kuhmo, Lammasperä, Tyvelä	7105362	638496	hunted	LT	1			Kauko Huotari		1	1		LT	1							
